county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1935,4.99,4.52,36.1,43.7,50.7,39.8,86.5,82.3,82.06666666666666,-2.68,-2.08,-1.68,-2.1466666666666665,-2.9,0.98,0.56,0.43333333333333335
001,1936,5.27,4.25,34.0,50.2,56.7,41.8,92.4,87.2,87.13333333333333,-2.39,-3.19,-3.4,-2.9933333333333336,-2.08,-3.14,-1.63,-2.1133333333333333
001,1937,9.94,4.38,37.4,48.0,49.1,39.5,83.8,84.2,81.89999999999999,1.79,2.42,2.8,2.3366666666666664,1.54,2.46,1.89,1.86
001,1938,5.74,3.83,39.6,47.6,53.4,39.5,83.9,86.0,82.96666666666667,3.26,3.61,-0.4,2.1566666666666663,2.59,2.06,-1.2,1.2266666666666666
001,1939,7.48,3.64,34.9,49.4,53.5,42.1,83.8,82.9,82.93333333333332,0.38,0.8,0.79,0.6566666666666667,-1.15,1.38,0.23,0.9133333333333332
001,1940,3.92,1.6400000000000001,33.7,45.6,48.8,42.0,87.0,84.2,84.06666666666666,-0.87,-1.73,-2.02,-1.54,-1.07,-2.85,-1.4,-1.3233333333333335
001,1941,3.9399999999999995,5.08,41.1,49.2,54.4,45.1,87.1,85.1,84.3,-2.82,-3.2,-3.37,-3.1300000000000003,-4.04,-2.02,-1.49,-0.36333333333333334
001,1942,5.77,3.7199999999999998,40.5,50.0,50.3,41.6,85.9,79.9,82.16666666666667,-0.61,0.54,1.07,0.3333333333333333,-0.55,1.61,1.75,1.0
001,1943,4.28,6.11,33.1,49.3,47.6,39.6,84.4,81.8,83.39999999999999,2.46,4.46,4.57,3.83,2.76,6.76,1.71,2.8033333333333332
001,1944,2.85,2.49,35.4,53.2,52.5,39.3,87.8,84.1,85.86666666666667,-1.15,-1.93,-2.04,-1.7066666666666668,0.04,-2.67,-0.93,-2.353333333333333
001,1945,3.41,4.09,40.1,42.6,54.6,38.5,82.3,82.0,80.39999999999999,1.78,1.49,0.85,1.3733333333333333,0.63,-0.31,-1.45,0.6266666666666667
001,1946,5.13,4.51,36.2,46.2,50.4,43.2,85.6,79.2,81.3,1.09,-0.19,-0.6,0.10000000000000005,0.83,-0.58,-1.29,-0.27666666666666667
001,1947,6.44,5.21,36.6,45.2,52.9,46.9,79.7,87.8,81.43333333333334,2.22,2.62,2.3,2.38,1.44,1.88,-0.13,1.5066666666666668
001,1948,6.07,3.2199999999999998,41.0,46.1,53.3,37.5,84.2,83.6,82.56666666666668,2.21,1.94,1.33,1.8266666666666669,1.99,-0.14,-1.22,-0.023333333333333355
001,1949,11.290000000000001,7.58,35.7,48.4,46.5,44.9,85.9,82.0,83.7,2.0,2.08,1.69,1.9233333333333331,1.96,0.85,-0.51,0.3533333333333333
001,1950,17.470000000000002,3.68,32.8,48.4,51.6,44.1,82.0,79.9,80.10000000000001,3.33,3.01,2.97,3.1033333333333335,3.63,0.06,0.82,0.3666666666666667
001,1951,6.9,7.7,36.3,48.4,48.6,42.1,83.3,81.2,81.10000000000001,3.04,2.88,2.09,2.67,3.11,0.44,-1.47,-0.09000000000000001
001,1952,10.209999999999999,7.109999999999999,37.7,46.8,49.8,34.1,88.2,82.4,85.5,-0.59,-0.92,-1.07,-0.86,3.49,-1.17,-0.73,-1.2233333333333334
001,1953,5.77,4.98,35.1,50.6,50.0,40.4,86.9,84.8,85.76666666666667,-1.44,-1.76,-2.15,-1.7833333333333332,-0.56,-1.39,-1.72,-1.9733333333333334
001,1954,6.879999999999999,3.0300000000000002,42.4,42.6,54.0,43.4,86.0,80.2,83.46666666666665,-3.6,0.0,1.5,-0.7000000000000001,-3.87,0.01,4.49,1.3766666666666667
001,1955,5.54,3.75,43.1,48.6,52.3,41.4,89.4,85.7,84.53333333333335,-1.66,0.24,0.34,-0.35999999999999993,-1.11,0.71,0.37,-0.3066666666666667
001,1956,4.62,5.02,34.7,47.6,47.3,42.4,82.2,82.4,82.23333333333333,1.29,1.89,-0.03,1.05,1.28,2.2,-0.1,0.8366666666666668
001,1957,6.699999999999999,5.29,40.4,48.1,51.5,37.9,83.9,82.3,81.93333333333334,3.17,3.14,2.44,2.9166666666666665,1.95,0.89,-1.14,1.3399999999999999
001,1958,6.790000000000001,7.029999999999999,38.1,44.9,52.4,40.3,80.9,81.0,78.89999999999999,2.96,3.82,4.39,3.7233333333333327,0.76,3.5,2.88,4.3999999999999995
001,1959,8.39,5.34,38.0,52.4,53.7,41.0,84.4,87.0,84.60000000000001,3.87,3.54,2.83,3.4133333333333336,4.42,0.2,-1.02,-0.3666666666666667
001,1960,7.57,5.27,40.6,46.9,55.0,40.4,82.4,83.3,81.56666666666666,-0.92,-0.72,-0.82,-0.82,-1.07,0.34,-0.52,-0.02999999999999999
001,1961,4.54,2.66,33.7,43.0,55.6,42.9,83.0,81.5,81.33333333333333,0.97,1.8,1.65,1.4733333333333334,1.38,2.8,0.11,0.6999999999999998
001,1962,6.710000000000001,4.33,36.7,54.6,49.6,43.6,81.3,83.8,82.39999999999999,-1.76,-1.56,-1.35,-1.5566666666666666,-1.36,0.05,0.14,-0.47333333333333333
001,1963,2.04,1.87,37.4,44.3,47.9,45.0,84.6,79.2,82.46666666666665,-3.45,-2.61,-2.79,-2.9500000000000006,-3.35,1.44,-1.34,-0.4033333333333334
