county_ansi,year,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09
003,1926,0.66,2.07,3.8,2.79,4.31,7.21,41.6,61.1,62.7,71.4,67.9,55.7
003,1927,2.93,4.07,4.56,2.09,2.01,5.55,44.5,53.4,63.7,67.9,64.4,61.5
003,1928,2.78,2.09,4.11,4.78,5.39,2.98,38.3,59.1,61.0,70.9,68.6,56.3
003,1929,1.98,1.84,3.06,2.46,2.97,4.76,45.4,52.7,64.0,72.2,68.9,57.6
003,1930,0.81,3.84,4.55,2.25,0.95,4.12,47.3,57.4,67.0,73.6,72.0,59.6
003,1931,1.3,1.84,4.57,1.15,3.96,2.7,47.7,54.9,72.1,74.8,68.9,66.2
003,1932,2.03,2.87,2.31,2.99,2.99,0.74,44.2,57.8,70.7,73.3,70.8,58.5
003,1933,1.49,6.41,1.54,2.46,0.79,2.93,42.7,56.6,75.2,75.8,68.5,65.4
003,1934,1.36,0.53,3.36,1.79,2.53,5.59,43.7,66.2,70.6,74.2,68.3,56.5
003,1935,2.3,2.78,4.69,3.74,4.41,1.49,42.4,52.7,62.6,77.3,70.3,59.5
003,1936,1.72,2.57,1.28,0.24,2.94,2.79,37.8,62.0,65.6,79.0,72.3,64.1
003,1937,2.28,5.91,2.18,1.8,5.58,2.67,42.5,58.5,65.4,74.4,75.2,61.4
003,1938,3.88,9.13,4.14,4.96,4.2,4.39,45.8,55.2,66.9,72.0,72.4,60.8
003,1939,2.44,3.76,5.85,3.0,3.52,2.84,41.5,62.5,67.5,73.1,69.5,62.4
003,1940,1.89,2.16,4.47,2.5,5.61,0.42,42.1,54.8,66.3,73.4,67.0,63.2
003,1941,2.7,5.71,4.24,3.06,4.38,4.58,50.8,62.3,67.6,73.2,70.4,61.5
003,1942,2.66,5.77,2.92,5.38,3.99,6.93,50.7,54.3,65.4,69.9,68.9,55.9
003,1943,1.22,5.74,4.35,4.06,2.38,2.35,43.2,54.6,69.3,73.3,70.4,56.6
003,1944,2.83,6.61,8.06,5.24,3.62,0.99,40.7,60.3,67.8,69.6,69.6,59.7
003,1945,3.43,2.5,7.15,4.54,3.92,2.46,42.5,50.9,60.3,68.9,68.9,58.0
003,1946,1.17,2.82,7.82,1.91,1.19,5.42,49.0,53.6,65.8,72.0,66.8,58.2
003,1947,3.81,3.13,4.76,1.23,4.19,1.99,40.7,52.0,63.2,71.3,76.2,60.7
003,1948,1.96,0.86,3.5,2.84,4.38,1.1,48.5,57.0,66.0,73.4,70.9,65.8
003,1949,1.68,1.53,3.74,5.63,1.75,2.63,45.9,60.1,70.5,74.2,72.0,56.9
003,1950,3.15,4.15,1.22,2.79,1.43,2.37,35.4,54.0,66.7,69.3,65.9,60.7
003,1951,2.4,3.49,6.18,5.21,4.25,4.69,40.8,60.3,62.8,70.1,65.7,55.0
003,1952,0.95,3.06,6.08,5.13,5.71,0.41,48.5,57.3,68.2,71.7,67.2,61.3
003,1953,3.12,5.15,6.53,3.59,5.36,1.04,40.1,57.0,68.8,70.8,71.1,59.6
003,1954,5.48,3.74,4.71,3.78,3.59,4.03,44.5,51.4,69.2,72.0,68.3,58.4
003,1955,1.07,1.22,3.26,6.06,6.04,1.94,51.9,61.5,67.0,76.5,73.8,60.3
003,1956,0.84,3.85,5.44,5.38,5.69,0.88,40.2,56.3,70.5,67.6,68.5,56.4
003,1957,1.5,4.97,8.58,3.96,5.95,3.1,44.7,55.7,65.4,74.6,68.4,57.4
003,1958,1.99,2.28,2.53,3.82,4.74,2.19,46.1,58.5,61.4,68.3,68.5,60.3
003,1959,0.51,6.94,1.53,3.3,6.34,3.91,44.8,59.2,69.4,72.0,72.5,60.4
003,1960,2.26,4.94,3.84,1.79,6.24,2.88,44.5,56.5,63.8,71.2,71.3,60.9
003,1961,2.51,4.62,2.45,4.21,1.86,3.51,38.8,54.6,67.8,70.3,71.1,58.7
003,1962,1.2,6.29,3.24,5.52,4.55,3.5,41.9,60.7,66.0,67.6,68.0,56.6
003,1963,2.4,3.95,3.36,3.0,2.81,3.33,47.3,55.1,69.5,72.9,67.9,61.8
003,1964,2.69,4.26,2.68,2.35,4.89,3.43,46.0,60.9,67.7,74.6,66.9,58.4
003,1965,2.93,5.41,4.96,5.5,4.29,5.14,41.0,58.7,65.7,69.0,67.3,51.8
003,1966,1.12,1.79,3.54,3.47,4.03,1.76,40.7,53.0,67.5,74.6,66.4,59.0
003,1967,1.88,1.94,6.58,1.99,3.88,0.74,43.8,51.9,65.5,68.8,65.9,59.5
003,1968,3.4,3.46,6.61,3.34,1.71,5.74,47.5,53.1,65.9,69.8,68.8,59.6
003,1969,1.92,1.75,2.64,4.34,0.71,0.53,47.2,58.6,60.0,70.8,72.1,60.7
003,1970,2.63,4.63,3.52,4.68,3.18,3.25,43.9,56.5,69.1,73.4,69.5,59.2
003,1971,1.25,3.79,3.8,2.66,2.83,3.32,45.4,53.9,70.1,67.3,67.0,60.8
003,1972,1.29,2.4,3.25,7.02,4.81,2.86,40.6,60.7,65.4,68.4,68.5,57.2
003,1973,1.33,5.13,3.17,3.08,4.42,3.18,43.7,54.3,68.0,71.2,71.4,58.3
003,1974,1.98,2.89,6.1,2.26,4.45,1.77,45.6,53.6,64.6,74.7,66.1,54.8
003,1975,5.32,3.93,8.78,2.04,6.98,2.47,37.7,60.0,66.9,74.0,68.9,56.1
003,1976,0.9,1.75,2.81,1.71,0.88,0.96,49.7,56.8,69.5,73.5,70.8,59.5
003,1977,2.63,3.6,3.84,4.45,7.06,3.6,51.7,65.9,66.9,73.3,65.0,59.3
003,1978,4.26,3.61,5.58,6.31,6.39,3.62,43.3,60.2,66.2,69.9,69.6,64.2
003,1979,0.79,4.54,6.0,2.53,6.37,1.73,41.1,53.0,65.2,70.6,66.6,61.4
003,1980,0.82,2.08,4.3,3.82,7.4,5.11,48.1,60.5,66.2,73.1,69.1,58.5
003,1981,3.43,1.76,6.13,3.21,4.83,1.58,47.7,56.0,65.8,71.0,68.4,58.0
003,1982,1.53,4.3,2.36,2.74,2.96,5.11,42.1,60.8,62.2,73.4,68.8,58.4
003,1983,2.94,2.63,6.07,4.77,4.22,3.59,40.9,53.3,66.2,75.2,74.2,61.2
003,1984,3.34,3.27,8.65,3.01,3.9,3.35,46.0,55.4,67.9,70.7,71.8,56.0
003,1985,2.94,3.93,4.05,3.13,5.19,7.03,50.7,61.5,63.1,71.1,65.0,57.8
003,1986,6.21,4.94,5.18,5.04,4.82,6.94,49.0,58.9,68.2,72.8,66.2,58.9
003,1987,0.18,2.79,2.13,7.44,4.35,2.34,53.0,62.6,71.6,74.7,68.2,61.2
003,1988,0.9,2.66,0.35,2.27,5.5,4.08,46.6,63.9,73.4,76.3,72.6,60.8
003,1989,2.02,3.59,2.92,3.32,4.01,3.04,44.1,56.8,66.2,74.1,69.7,60.0
003,1990,3.4,3.74,8.32,5.81,4.58,1.86,46.2,55.2,68.7,70.2,69.5,62.1
003,1991,3.89,7.89,3.7,5.34,4.05,7.14,48.5,60.8,71.1,70.9,70.0,58.0
003,1992,2.39,1.78,4.0,4.77,2.95,4.17,42.1,59.9,64.2,64.9,64.8,58.5
003,1993,2.5,4.5,7.66,4.41,6.95,3.26,42.8,56.3,63.4,69.3,69.4,53.6
003,1994,4.85,1.35,3.11,5.38,3.78,3.59,44.8,59.7,68.7,69.0,66.4,62.5
003,1995,2.71,3.48,3.97,6.18,6.01,2.41,40.3,55.3,69.9,71.5,72.6,58.4
