county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1951,3.7199999999999998,0.77,33.9,49.2,47.2,39.7,82.6,82.4,79.93333333333332,3.34,2.97,3.48,3.2633333333333336,3.28,-0.08,2.45,1.1933333333333334
001,1952,1.9699999999999998,1.97,36.2,47.4,50.7,31.8,85.1,79.7,83.66666666666667,2.85,2.5,3.15,2.8333333333333335,2.44,-0.17,2.73,1.5200000000000002
001,1953,2.84,3.9699999999999998,32.1,47.4,49.4,44.1,87.0,85.9,86.0,-0.54,-1.06,-1.79,-1.1300000000000001,-0.78,-1.72,-2.52,-1.2533333333333332
001,1954,2.36,1.94,39.6,42.7,54.0,41.1,92.3,82.7,86.03333333333332,-3.29,-3.94,-2.47,-3.233333333333334,-3.83,-2.95,3.18,0.2233333333333333
001,1955,3.35,0.41000000000000003,43.1,49.6,52.8,39.2,91.2,90.0,86.46666666666665,-2.36,-2.54,-3.14,-2.68,-2.44,-1.26,-2.6,-1.4566666666666668
001,1956,1.08,0.39,31.9,49.3,48.0,44.3,85.6,84.7,85.73333333333333,-6.68,-6.0,-5.35,-6.010000000000001,-6.3,-0.04,0.09,-1.01
001,1957,0.8400000000000001,3.1999999999999997,36.7,47.0,48.5,38.1,90.3,85.7,85.39999999999999,-2.86,-3.3,-3.44,-3.1999999999999997,-3.2,-2.19,-1.46,-1.2133333333333334
001,1958,2.47,2.69,36.2,48.9,51.8,40.3,80.0,84.1,81.13333333333334,-2.85,2.37,1.7,0.4066666666666667,-2.66,7.1,-1.26,1.49
001,1959,1.5,1.28,35.5,51.4,51.4,37.0,83.5,85.8,84.03333333333335,1.32,0.88,1.22,1.14,1.64,-0.9,1.29,-0.02666666666666669
001,1960,6.34,3.0700000000000003,38.9,46.9,53.1,39.5,85.0,83.9,82.3,1.82,1.2,2.33,1.7833333333333332,2.11,-1.28,3.75,0.7466666666666667
001,1961,2.97,0.9400000000000001,32.2,44.5,49.4,40.6,84.0,83.3,82.26666666666667,2.12,1.94,1.55,1.87,2.03,0.1,-0.54,0.15
001,1962,4.63,4.05,34.2,55.5,48.4,43.3,83.8,84.3,82.83333333333333,-0.63,-0.28,-0.7,-0.5366666666666666,3.03,0.84,-1.36,-0.8000000000000002
001,1963,1.9099999999999997,1.04,39.2,48.6,53.6,49.6,87.6,82.4,85.3,-1.89,-1.72,-1.33,-1.6466666666666665,-1.13,-0.08,0.64,-0.69
