model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18175,1,2.2517063975564042,1.9809167846107698,1.0717445001784418,-1.4600116563886445
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18181,1,2.9267985708009405,2.5860603582515296,1.12164566812545,-1.0944363552285523
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18055,1,2.420170481769503,2.11902832861108,1.1103729056757843,-1.325282788264488
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18057,1,2.6671356993410313,2.3424685862817682,1.0929318242383674,-1.016405603231206
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18065,1,2.608181276224343,2.279143601546366,1.0604429360998413,-0.9983518075979134
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18067,1,2.823302392690209,2.488455255147585,1.1034428587790055,-1.0757368366604254
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18071,1,2.3629957295140684,2.0778385060056053,1.0787912498569752,-1.349590325881863
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18077,1,2.257631814653564,1.9893433432394545,1.0417208328933825,-1.3014538517736582
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18087,1,3.2300334426606128,2.8494228064886897,1.0910215479534808,-1.3493855838809736
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18091,1,3.21183913367571,2.852143064407926,1.1277463767741525,-1.2408213919061666
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18097,1,2.598682125147434,2.28422632296423,1.092937408047706,-1.1008544030702865
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18101,1,2.333304447441378,2.0426292729891316,1.101979907025545,-1.4217820257640028
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18103,1,2.9011551203687986,2.55838656002544,1.1005661198479044,-1.121240654196754
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18109,1,2.5304319574611895,2.223940655153399,1.0991081607532405,-1.1929020462970925
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18007,1,2.8766415282780713,2.5386992711789844,1.1308651666213032,-1.0405551199637841
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18013,1,2.439487532937278,2.1450375231555086,1.0878470842066983,-1.2878849558447456
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18015,1,2.88073005105457,2.5433084707933062,1.1159531389000257,-1.0867291487045634
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18019,1,2.1861393744453608,1.9279596074626966,1.0502015385270143,-1.4283049830078198
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18025,1,2.1829368102912667,1.914911353348998,1.0834828302045987,-1.5833412824341053
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18031,1,2.4206672500042714,2.1257272649176002,1.0575138872858312,-1.1902988110949053
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18035,1,2.7116817699131275,2.370498447375155,1.0660903840721883,-1.0017492070900147
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18045,1,2.7158268322862114,2.3886652066933607,1.1259337844902146,-0.9863585854310912
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18003,1,2.9981343847566677,2.625738064594259,1.0631330197985878,-1.2084516085661932
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18001,1,2.84926520133439,2.4866479702403694,1.0518062891883624,-1.1018516033983445
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18049,1,3.004836056446152,2.6570420198374336,1.1092123916333272,-1.1794503842016155
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18053,1,2.809832328574373,2.4664061939955104,1.0812946291639516,-1.0674204530932485
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18063,1,2.600713068405753,2.2861969684870473,1.1044598531816483,-1.1142175728507056
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18075,1,2.748232739880052,2.39707301056535,1.053078345800978,-1.026142169218076
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18093,1,2.3622605464564685,2.0737554924555184,1.092338871789373,-1.3829413644298256
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18099,1,3.116854835359675,2.7625564957021425,1.1161108749152984,-1.2412554235585702
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18113,1,3.106917484211749,2.7371260458119764,1.0869189688964356,-1.2647610545207755
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18119,1,2.503691667952239,2.196816868031533,1.1082599694827933,-1.2273187358179456
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18133,1,2.580148732374937,2.2659326702669205,1.1118299044301703,-1.1401841922678813
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18145,1,2.501127964588818,2.1961472065182193,1.073700801948702,-1.1580356399684604
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18157,1,2.819350851159413,2.4856747262049907,1.1210231060962934,-1.0383962049780138
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18165,1,2.673390833790279,2.3484143804984114,1.1323026164592718,-1.037419237872811
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18005,1,2.425497749403462,2.131492575001232,1.0705283582132394,-1.2367651353077918
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18017,1,2.9077084539171665,2.5686821324387665,1.1127240094603994,-1.1145380118745862
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18027,1,2.349901018019864,2.0528036174586077,1.1126285050853544,-1.4084568940237148
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18041,1,2.5203616699477607,2.204147257113277,1.0483422050656626,-1.0507331303796974
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18043,1,2.1767074691981634,1.9176244419246018,1.06027374501746,-1.4950026061702886
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18171,1,2.786935838069951,2.454832458051669,1.1306358528636147,-1.0021464844626564
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18177,1,2.5542376527245096,2.2262713417603095,1.039289850947206,-0.9904385798050157
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18061,1,2.135319960308607,1.8769884638380745,1.0689188351568488,-1.502335073226945
