model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19103,7,3.794575503934766,3.747260531626239,0.9215959405439824,-0.5926917745060791
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19107,7,3.802303138662865,3.754347063584987,0.9402160468184232,-0.6762115064413194
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19111,7,3.858449226076175,3.842452897592352,0.9065905204162288,-1.1924640128122803
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19127,7,3.784707145173172,3.697224816060441,0.9577103698869044,-0.4076002332248407
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19129,7,4.0333899298605616,4.1177060228133655,0.8136215560238598,-3.2059543684597287
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19135,7,3.850098668598832,3.835710817454697,0.9425176300296696,-1.1256997245655782
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19139,7,3.791897066935292,3.757853195305188,0.9034836508758814,-0.6103093708190812
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19145,7,4.057234119580983,4.14717277060862,0.7860166092101335,-3.5682144877692963
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19153,7,3.8223258014147055,3.7883877104757175,0.9555600839219824,-0.9548292051369742
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19155,7,3.9528683144789625,3.981909311220989,0.8474290358697983,-2.4782502821061456
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19159,7,4.004746810544589,4.046723939833214,0.8648756897551766,-2.834944267892922
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19163,7,3.789850474312459,3.7635512557101833,0.8774886778129892,-0.6231745728921965
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19171,7,3.785212232518632,3.6934183291294858,0.9514836775398056,-0.3509443265910619
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19177,7,3.865011049994223,3.845478982517648,0.9147003152073454,-1.254463636283674
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19183,7,3.793033158345281,3.746144571995615,0.9288033100346224,-0.612380084539538
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19189,7,3.69167314846942,3.451750664679821,1.017115400369917,0.6582404162968771
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19193,7,3.6616074323589487,3.4760764646875373,0.9011001653636532,0.1825080566506614
EC-Earth3,r1i1p1f1,ssp585,mid_century,2040,2069,19059,7,3.605215010131019,3.326722447830207,1.0632319550758813,1.0743677992167875
