model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17039,5,2.488996526823996,3.0437601524863,1.087074405758102
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17045,5,2.48555624278265,3.021463928312869,1.10048305052814
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17061,5,2.4542726150722842,2.9378677495303123,1.0734549167613054
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17069,5,2.3353762474071686,2.74131735256816,0.9447224737427663
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17071,5,2.5204221463102954,3.1276766196161816,1.1048498482905404
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17075,5,2.4881447292374332,3.0127965863181316,1.1332016457327185
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17087,5,2.3406792709566844,2.756648206396335,0.9680181210441711
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17095,5,2.5238813308234285,3.14004744007417,1.096175316062772
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17113,5,2.491960222797502,3.0501253685400798,1.0868272492356057
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17123,5,2.5291387410593984,3.128447321326007,1.0946779898402244
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17135,5,2.4716200244182573,3.001660196171997,1.0684084189255163
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17151,5,2.3183841362653084,2.728634600756493,0.9487336403122972
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17163,5,2.4793432745864834,2.9473392062324706,1.028247186680377
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17187,5,2.5096172776617323,3.111374846610147,1.0916971888028029
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17199,5,2.365335396757871,2.8000616591368725,0.9837184226551815
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17059,5,2.362555673358827,2.7933753805016863,0.9677571832304577
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17067,5,2.505527965763463,3.0813643816687204,1.104962766263349
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17083,5,2.4688204272381995,2.9400216683060876,1.0555176895478127
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17085,5,2.6381086479386227,3.2806373210153765,1.126049386292296
