fips5,year,plant_doy,r1_doy,r3_doy,start_doy,r5_doy,end_doy,end_driver,r6_doy,r8_doy,frost_doy,matured_before_frost,days_r8_to_frost,window_days,podfill_days,seedfill_days,season_days,win_gdd,win_edd,win_hot_days,win_vpd_mean,win_vpd_max,win_prcp_mm,win_et0_mm,win_tmax_mean,win_water_deficit_mm,season_gdd,season_edd,season_prcp_mm,wb_stress_days,wb_min_water_frac,wb_season_deficit_mm
17085,2015,149,210,227,212,247.0,262,227.0,281.0,,290,0,,51,51,,114,607.4075865048613,8.147619722493541,4,1.109440222157068,1.960621860047056,176.06,212.09296097408597,28.16333333333333,36.03296097408597,1274.5156345901464,9.690621379204888,422.69,28,0.3521079968344127,16.84536217636643
17085,2016,148,205,223,210,242.0,261,223.0,273.0,322.0,317,0,-5.0,52,52,,114,584.8359681465772,0.09997238500957238,0,0.5013124262340811,0.7136474696376278,254.74999999999997,176.40567824377655,25.768076923076926,-78.34432175622342,1295.3366568723893,0.5333522756232516,583.5,0,0.7065843018278426,0.0
17085,2017,156,214,239,218,265.0,265,239.0,,,301,0,,48,48,,110,437.249647951912,0.8983702218686864,0,0.7650895856010057,1.5572123239567857,57.5,169.23760502349552,25.00208333333333,111.73760502349552,1121.0499259568744,0.9216765301749601,405.3299999999999,20,0.24975721501793746,25.32369738699427
17085,2018,146,198,218,208,237.0,259,218.0,263.0,,286,0,,52,52,,114,591.9473166409902,1.2096743951246562,0,0.6866657078973879,1.7105338904761183,322.85,185.4438368544573,26.42115384615385,-137.40616314554273,1349.02773448713,4.990064572634065,604.2,0,0.6135079652273582,0.0
17085,2019,156,211,231,214,256.0,263,231.0,,,285,0,,50,50,,108,513.6110659813448,0.0,0,0.49610614237014083,0.8852372453452846,291.88000000000005,158.7462110106879,25.037599999999998,-133.13378898931217,1187.7306748043552,0.17166014004249525,489.27000000000004,0,0.7164545940200581,0.0
17085,2020,148,204,224,211,243.0,261,224.0,315.0,,293,0,,51,51,,114,503.9027744770616,2.4867908130026555,0,0.7163317075989284,1.5351765420342618,219.41,187.18344898865607,25.174313725490197,-32.22655101134393,1235.086971409521,2.707146255159305,476.73,18,0.2660169052377805,24.94059904587381
17085,2021,143,201,218,208,234.0,259,218.0,258.0,275.0,306,1,31.0,52,52,,117,655.0971974641413,4.427802535858658,0,1.0249737334418136,1.7235777650745703,150.87,214.03507108948259,28.544038461538467,63.16507108948258,1404.5811041572665,9.121759748819757,301.65,24,0.2780592636130515,18.44339057290858
17085,2022,133,197,215,206,235.0,259,215.0,261.0,297.0,288,0,-9.0,54,54,,127,605.6894503927783,2.1605496072216184,1,0.8315728451597808,1.4117511260241327,198.43999999999997,206.78003194634505,26.76092592592593,8.340031946345078,1373.8083946135378,6.112473424696886,472.58000000000004,0,0.5378677149167653,0.0
17085,2023,153,208,224,211,241.0,261,224.0,268.0,297.0,302,1,5.0,51,51,,109,627.0805293212848,19.353972570666024,8,1.3643570525501212,2.690621501861722,68.65,231.66230400358546,29.364705882352943,163.01230400358546,1324.0927263406559,27.840435735349466,224.61,28,0.1729890433532881,59.457458028650116
17085,2024,142,204,223,210,242.0,261,223.0,272.0,302.0,317,1,15.0,52,52,,120,578.6845003378986,3.659998432221965,1,0.911423329563019,1.6965298342115631,99.89,209.50848215024274,27.125576923076917,109.61848215024274,1292.6268057632647,3.6705565134674276,455.96000000000004,24,0.2101670121078966,28.81921457266016
