county,fips5,ag_district,baseline_yield,delta_bu,delta_bu_parametric,pct,pct_parametric,scenario,horizon
DOUGLAS,17041,EAST SOUTHEAST,51.5889,-0.4728,-2.6757,-0.9166,-5.1866,ssp245,late_century
EDGAR,17045,EAST SOUTHEAST,49.7733,-0.2179,-2.391,-0.4377,-4.8039,ssp245,late_century
EDWARDS,17047,SOUTHEAST,39.6643,-0.2234,-2.7781,-0.5631,-7.0041,ssp245,late_century
EFFINGHAM,17049,EAST SOUTHEAST,42.5804,-0.3742,-2.5986,-0.8787,-6.1029,ssp245,late_century
FAYETTE,17051,EAST SOUTHEAST,38.8045,-0.4018,-2.9626,-1.0354,-7.6348,ssp245,late_century
FORD,17053,EAST,46.9795,0.1148,-1.8688,0.2443,-3.9778,ssp245,late_century
FRANKLIN,17055,SOUTHEAST,35.1152,-0.2401,-3.0928,-0.6836,-8.8075,ssp245,late_century
FULTON,17057,WEST,46.8717,-0.4732,-2.902,-1.0095,-6.1913,ssp245,late_century
GALLATIN,17059,SOUTHEAST,39.9767,-0.0043,-2.9135,-0.0107,-7.288,ssp245,late_century
GREENE,17061,WEST SOUTHWEST,47.6267,-0.6957,-3.6215,-1.4607,-7.604,ssp245,late_century
