model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27091,1,1.8206012564571097,1.3435822724008517,1.0140988994231885,0.016975795058144172
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27095,1,2.330153865923535,1.6175031220283813,1.0172047521520093,-1.3661038176043547
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27097,1,2.3442813831697435,1.6264426637112592,1.0420835644619952,-0.9760813581666099
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27099,1,1.6597972814964805,1.252465198856214,1.0030317280926604,-0.2137468320231477
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27105,1,1.7067322305368862,1.2996532820254174,1.04551702488219,0.2891027882380257
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27109,1,1.6674000040762849,1.255390761407,0.9920925765073434,-0.6525536504853875
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27111,1,2.2353703863014402,1.5915697847329398,1.1165067050432442,-0.16117398615217837
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27115,1,2.3333020522862284,1.6220527489045367,0.9790107305002727,-2.0381023302407186
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27117,1,1.5899417885815978,1.282802826464149,1.1178363384885484,0.2777888548568086
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27119,1,2.565772795942223,1.7787494084590207,1.117982171441683,-0.11668155666006896
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27129,1,1.8701770225719656,1.4008496506642132,1.060479602153233,-0.2972232157941477
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27133,1,1.6238081083674274,1.2967426098535952,1.0743965245244418,0.30305619009180873
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27141,1,2.1628613830688437,1.54033139478355,1.0125909008943752,-1.186192701124071
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27145,1,2.1204311356186736,1.5251396866281652,1.052596257439577,-0.7907882728219988
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27149,1,1.8755633482024336,1.3912399760554308,1.1515066784771113,0.11271540058737628
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27157,1,1.6876930094868499,1.2529199301543485,0.9829988673942642,-1.00946749009141
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27163,1,2.0195372575198007,1.4402332170830618,0.9885305719102842,-1.3335472757295292
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27171,1,2.1111633213911887,1.5204924708947942,1.0112584785712242,-1.03752364918914
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27077,1,2.4760144879411996,1.7935762957523593,1.0765110852918556,-0.0372570127176175
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27137,1,2.373958009504861,1.8619793897545946,0.9896696873356756,-1.7322500694672982
INM-CM5-0,r1i1p1f1,ssp245,mid_century,2040,2069,27001,1,2.5120472264687237,1.721637215852013,1.012198737662542,-1.3245248231491331
